SYMBOL,ENTREZID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADAM1A,8759,ADAM metallopeptidase domain 1A (pseudogene),6.791013279,-1.561355009,0.365583752,-4.270854491,1.95E-05,0.000133817
ADAM1B,100420505,ADAM metallopeptidase domain 1B (pseudogene),0.636590169,1.763664917,0.691806376,2.549362046,0.01079202,0.029408618
ADAM28,10863,ADAM metallopeptidase domain 28,79.92175121,-1.044519224,0.286068067,-3.651296122,0.00026092,0.001246288
ADAM9,8754,ADAM metallopeptidase domain 9,4.627219656,1.106028676,0.431076972,2.565733609,0.010295787,0.028302561
ADAMTS15,170689,ADAM metallopeptidase with thrombospondin type 1 motif 15,1.923045278,3.735600423,0.970332891,3.849813251,0.000118208,0.000632854
ADAMTS6,11174,ADAM metallopeptidase with thrombospondin type 1 motif 6,1.184401276,-1.378378711,0.555522786,-2.481228035,0.013093058,0.034480806
ADAMTS7,11173,ADAM metallopeptidase with thrombospondin type 1 motif 7,1.896511335,-3.215284359,0.734675766,-4.376467153,1.21E-05,8.80E-05
ADAMTS9-AS2,100507098,ADAMTS9 antisense RNA 2,1.319870125,-1.66248481,0.672295504,-2.472848324,0.013404102,0.035150952
ADAMTSL1,92949,ADAMTS like 1,2.004323698,3.097000682,0.996447735,3.108041267,0.001883318,0.00670408
ADAMTSL3,57188,ADAMTS like 3,3.04934366,3.06704045,0.761825425,4.025909808,5.68E-05,0.000335916
ADD3,120,adducin 3,40.76206204,-2.75194392,0.309636363,-8.887663878,6.24E-19,9.28E-17
ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",1.068696914,1.328404226,0.564144898,2.354721687,0.018536583,0.046001633
ADM,133,adrenomedullin,264.5274716,2.566102531,0.403981688,6.352026859,2.12E-10,5.30E-09
ADM5,199800,adrenomedullin 5 (putative),33.26911764,2.076926754,0.334870189,6.202184677,5.57E-10,1.25E-08
ADPGK-AS1,100287559,ADPGK antisense RNA 1,8.621342188,1.305802824,0.444097631,2.940350798,0.003278408,0.010729216
ADRA2B,151,adrenoceptor alpha 2B,1.196813741,2.060253729,0.642961436,3.204319285,0.001353823,0.005064763
ADRB2,154,adrenoceptor beta 2,10.01278591,1.794745543,0.371578777,4.830053952,1.36E-06,1.28E-05
ADRB3,155,adrenoceptor beta 3,1.12147442,2.60964089,0.599782734,4.350977016,1.36E-05,9.74E-05
AEBP1,165,AE binding protein 1,42.17829726,-1.571195443,0.458727584,-3.425116557,0.000614536,0.002595232
AEN,64782,apoptosis enhancing nuclease,113.2499035,1.500600019,0.167571394,8.954989159,3.40E-19,5.28E-17
AFAP1-AS1,84740,AFAP1 antisense RNA 1,6.340682118,1.520889491,0.596969849,2.547682255,0.010844119,0.029524028
AFAP1L2,84632,actin filament associated protein 1 like 2,0.408303129,-2.10263374,0.724947921,-2.900392814,0.003726953,0.01197875
AFF3,3899,AF4/FMR2 family member 3,6.989485394,-3.368710785,0.489212816,-6.885982281,5.74E-12,2.09E-10
AGAP2,116986,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",5.746467833,-1.783007273,0.321629498,-5.543668361,2.96E-08,4.44E-07
AGBL5-AS1,100874031,AGBL5 antisense RNA 1,0.71369651,-2.32088543,0.713842324,-3.251257809,0.001148956,0.004418403
AGFG2,3268,ArfGAP with FG repeats 2,3.569438105,-1.39452069,0.445619059,-3.129400915,0.001751631,0.006316039
AGGF1,55109,angiogenic factor with G-patch and FHA domains 1,32.15201951,-1.387613259,0.223420434,-6.210771477,5.27E-10,1.19E-08
AGMAT,79814,agmatinase,24.45839089,-2.499505227,0.337733328,-7.400824899,1.35E-13,7.13E-12
AGO2,27161,argonaute RISC catalytic component 2,55.35551179,1.182595462,0.222975555,5.30370005,1.13E-07,1.45E-06
AGO4,192670,argonaute RISC component 4,14.93325669,-1.17169412,0.237327099,-4.937043123,7.93E-07,8.04E-06
AGR2,10551,"anterior gradient 2, protein disulphide isomerase family member",6.835853281,5.465540998,1.037683691,5.267058785,1.39E-07,1.73E-06
AGRN,375790,agrin,4.325111851,1.301724091,0.443590501,2.934517508,0.003340667,0.010903516
AHSP,51327,alpha hemoglobin stabilizing protein,24.84987919,1.597382092,0.526390897,3.034592923,0.002408605,0.008235208
AICDA,57379,activation induced cytidine deaminase,5.654104323,-2.887485359,0.94973595,-3.040303318,0.0023634,0.00811155
AIF1,199,allograft inflammatory factor 1,42.61769856,-1.633557803,0.523076188,-3.122982539,0.001790284,0.006429578
AIF1L,83543,allograft inflammatory factor 1 like,3.946457879,-2.177732501,0.61774603,-3.525287735,0.000423023,0.001887016
AIFM2,84883,apoptosis inducing factor mitochondria associated 2,49.05263163,-1.037610625,0.175528374,-5.911355526,3.39E-09,6.30E-08
AIG1,51390,androgen induced 1,184.0937018,1.669117924,0.207426426,8.046794989,8.50E-16,6.96E-14
AIMP1,9255,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,42.24503701,-1.119066684,0.237068144,-4.720443097,2.35E-06,2.09E-05
AIPL1,23746,aryl hydrocarbon receptor interacting protein like 1,1.336398337,1.689014991,0.422248145,4.000053078,6.33E-05,0.00036874
AIRE,326,autoimmune regulator,1.278498186,-3.100072683,0.796091156,-3.894117725,9.86E-05,0.00054288
AJAP1,55966,adherens junctions associated protein 1,11.85473419,5.532154167,0.567707608,9.744724385,1.94E-22,5.61E-20
AK1,203,adenylate kinase 1,25.09855632,1.172909482,0.281700678,4.163672915,3.13E-05,0.00020279
AK3,50808,adenylate kinase 3,40.6094803,-1.182266439,0.271192743,-4.359506175,1.30E-05,9.40E-05
AK4P6,649288,adenylate kinase 4 pseudogene 6,1.844081265,3.019278448,0.490824028,6.151447918,7.68E-10,1.67E-08
AKAP11,11215,A-kinase anchoring protein 11,12.08870421,-1.596828201,0.293190669,-5.446381383,5.14E-08,7.20E-07
AKAP14,158798,A-kinase anchoring protein 14,1.419291309,1.347429672,0.545089232,2.471943295,0.013438083,0.035217195
AKAP3,10566,A-kinase anchoring protein 3,1.962448257,-1.323633566,0.515314899,-2.568591687,0.01021127,0.028116963
AKAP6,9472,A-kinase anchoring protein 6,2.079135593,1.228955969,0.477328786,2.574652956,0.010034071,0.027701444
AKR1C3,8644,aldo-keto reductase family 1 member C3,3.250597391,1.734457174,0.604855556,2.867555993,0.004136556,0.013114338
AKR1D1,6718,aldo-keto reductase family 1 member D1,4.169314263,2.850829917,0.491782514,5.796932254,6.75E-09,1.18E-07
AKR7L,246181,aldo-keto reductase family 7 like (gene/pseudogene),2.418896255,1.250431459,0.410659974,3.04493142,0.002327334,0.00800672
AKT1S1,84335,AKT1 substrate 1,102.8921032,1.025043311,0.155112096,6.608403466,3.88E-11,1.15E-09
ALAS2,212,5'-aminolevulinate synthase 2,25.17455738,1.986895966,0.532773844,3.729342177,0.00019198,0.000960139
ALCAM,214,activated leukocyte cell adhesion molecule,39.33571865,-1.209423845,0.361050168,-3.349739047,0.000808877,0.003283245
ALDH1L1,10840,aldehyde dehydrogenase 1 family member L1,6.1289805,1.448495273,0.371689863,3.897053474,9.74E-05,0.000537562
ALDH4A1,8659,aldehyde dehydrogenase 4 family member A1,9.36441815,-1.519137969,0.325163463,-4.671920874,2.98E-06,2.57E-05
ALDH5A1,7915,aldehyde dehydrogenase 5 family member A1,39.69076879,-2.537625012,0.300662787,-8.440103407,3.17E-17,3.26E-15
ALDH9A1,223,aldehyde dehydrogenase 9 family member A1,38.48044582,-1.270668425,0.245533158,-5.175139839,2.28E-07,2.70E-06
ALDOB,229,"aldolase, fructose-bisphosphate B",2.437037729,-1.878591308,0.725851778,-2.58811973,0.009650143,0.026788019
ALG1L13P,106479038,"ALG1 like 13, pseudogene",1.295156118,-2.942606751,0.599305973,-4.910024066,9.11E-07,9.04E-06
ALG1L5P,647415,"ALG1 like 5, pseudogene",0.754875608,-2.261304752,0.822672583,-2.748729929,0.005982666,0.01787717
ALKBH2,121642,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",43.62254404,1.535647586,0.246030616,6.241693061,4.33E-10,1.00E-08
ALMS1-IT1,100874291,ALMS1 intronic transcript 1,4.77688668,1.81366756,0.51987709,3.488646827,0.000485472,0.002124521
ALOX5,240,arachidonate 5-lipoxygenase,162.7836754,1.456833018,0.31140301,4.678288177,2.89E-06,2.51E-05
ALOX5AP,241,arachidonate 5-lipoxygenase activating protein,67.16939608,1.824080042,0.419186347,4.3514777,1.35E-05,9.72E-05
ALPK3,57538,alpha kinase 3,2.800350679,2.236503211,0.455337819,4.9117449,9.03E-07,8.97E-06
ALPP,250,"alkaline phosphatase, placental",2.896878089,3.973430286,0.604119516,6.577225502,4.79E-11,1.38E-09
ALS2,57679,alsin Rho guanine nucleotide exchange factor ALS2,8.57930051,-1.290901705,0.323331379,-3.992503637,6.54E-05,0.000378906
AMBN,258,ameloblastin,1.339450069,3.59388295,0.895518802,4.013185362,5.99E-05,0.000352063
AMH,268,anti-Mullerian hormone,8.998794852,2.669823616,0.454050507,5.880014611,4.10E-09,7.49E-08
AMIGO2,347902,adhesion molecule with Ig like domain 2,13.96695325,-1.937182535,0.426379149,-4.543333182,5.54E-06,4.45E-05
AMN,81693,amnion associated transmembrane protein,26.04123072,-1.047374951,0.343000314,-3.053568491,0.002261371,0.007824544
ANAPC10,10393,anaphase promoting complex subunit 10,11.96470196,1.070191401,0.311869908,3.43153146,0.000600184,0.00254043
ANAPC4,29945,anaphase promoting complex subunit 4,11.84874361,-1.704708415,0.270746812,-6.296319434,3.05E-10,7.38E-09
ANAPC7,51434,anaphase promoting complex subunit 7,67.86582074,-1.040761633,0.192777088,-5.39878284,6.71E-08,9.13E-07
ANGPTL6,83854,angiopoietin like 6,12.89580309,-2.102071601,0.305001868,-6.891995817,5.50E-12,2.01E-10
ANK3,288,ankyrin 3,6.023754137,1.464565496,0.451077032,3.246819037,0.001167026,0.004478285
ANKDD1A,348094,ankyrin repeat and death domain containing 1A,49.13130333,1.10950926,0.211432546,5.247580296,1.54E-07,1.91E-06
ANKIB1,54467,ankyrin repeat and IBR domain containing 1,79.78274518,-1.613372814,0.222619657,-7.247216319,4.25E-13,2.05E-11
ANKK1,255239,ankyrin repeat and kinase domain containing 1,2.966317703,1.228520168,0.524605301,2.341798999,0.019191047,0.047303298
ANKRD12,23253,ankyrin repeat domain 12,326.6351821,-1.626333189,0.247499136,-6.571066138,5.00E-11,1.43E-09
ANKRD13B,124930,ankyrin repeat domain 13B,3.827977086,1.328663818,0.450052053,2.952244764,0.003154728,0.010391817
ANKRD13C,81573,ankyrin repeat domain 13C,7.288761118,-1.223178972,0.347041973,-3.524585113,0.000424147,0.001891331
ANKRD20A10P,100421422,"ankyrin repeat domain 20 family member A10, pseudogene",1.204868611,1.865322058,0.598765946,3.115277463,0.00183772,0.006571692
ANKRD20A11P,391267,"ankyrin repeat domain 20 family member A11, pseudogene",42.98525107,1.315053841,0.515036385,2.55332221,0.010670074,0.029138071
ANKRD26,22852,ankyrin repeat domain 26,17.92125882,-2.374502906,0.33467163,-7.095022978,1.29E-12,5.51E-11
ANKRD30BL,554226,ankyrin repeat domain 30B like,29.2339191,1.172257823,0.403740644,2.90349223,0.003690261,0.011883796
ANKRD30BP2,149992,ankyrin repeat domain 30B pseudogene 2,0.823352186,2.608195765,0.881775535,2.957890825,0.003097518,0.010243751
ANKRD31,256006,ankyrin repeat domain 31,0.720661657,2.358653348,0.69313382,3.402883082,0.000666788,0.002788083
ANKRD36,375248,ankyrin repeat domain 36,41.03421579,-1.157232897,0.349266418,-3.313324259,0.00092194,0.003667028
ANKRD36B,57730,ankyrin repeat domain 36B,36.01807641,-1.078199058,0.33992947,-3.171831666,0.001514808,0.005579162
ANKRD36C,400986,ankyrin repeat domain 36C,37.56835289,-1.915865422,0.312377035,-6.133182678,8.61E-10,1.86E-08
ANKRD37,353322,ankyrin repeat domain 37,94.12574131,-1.126926546,0.260994399,-4.317818884,1.58E-05,0.000111126
ANKRD44,91526,ankyrin repeat domain 44,39.17380261,-1.199913008,0.187991328,-6.382810433,1.74E-10,4.45E-09
ANKRD45,339416,ankyrin repeat domain 45,1.367423412,2.951950462,0.78271613,3.77141897,0.000162322,0.000829444
ANKRD46,157567,ankyrin repeat domain 46,16.01745987,-1.947202905,0.277956677,-7.005418702,2.46E-12,9.79E-11
ANKRD50,57182,ankyrin repeat domain 50,3.317041841,1.680980296,0.629094867,2.672061692,0.007538679,0.021751575
ANKRD6,22881,ankyrin repeat domain 6,8.290388711,1.037664515,0.314521227,3.299187549,0.000969651,0.003828518
ANKS6,203286,ankyrin repeat and sterile alpha motif domain containing 6,24.01348916,1.580384523,0.201288949,7.851322853,4.12E-15,2.94E-13
ANO8,57719,anoctamin 8,17.98311953,-1.174932251,0.255022244,-4.607175559,4.08E-06,3.40E-05
ANP32A,8125,acidic nuclear phosphoprotein 32 family member A,94.69851574,-1.418256522,0.24319717,-5.831714751,5.49E-09,9.75E-08
ANP32BP2,100130708,acidic nuclear phosphoprotein 32 family member B pseudogene 2,0.474575394,1.743575045,0.702170059,2.483123602,0.013023589,0.034312774
ANXA2P2,304,annexin A2 pseudogene 2,0.880014453,1.873370048,0.553356127,3.385469063,0.000710567,0.002938183
ANXA2P3,305,annexin A2 pseudogene 3,13.50996052,-1.31925015,0.286684163,-4.601754545,4.19E-06,3.48E-05
ANXA2R,389289,annexin A2 receptor,53.46890537,1.251585859,0.240823562,5.197107164,2.02E-07,2.44E-06
ANXA4,307,annexin A4,16.72589253,-1.060537933,0.324721431,-3.26599304,0.001090809,0.004228412
ANXA6,309,annexin A6,390.1205014,-1.24562768,0.213751272,-5.827463251,5.63E-09,9.95E-08
AOC2,314,amine oxidase copper containing 2,2.80485338,1.101303696,0.452777624,2.432328008,0.015002115,0.038525074
AOX2P,344454,"aldehyde oxidase 2, pseudogene",1.422090299,1.291664694,0.532441678,2.425927095,0.015269337,0.039074709
AP1G2,8906,adaptor related protein complex 1 subunit gamma 2,128.0194143,-1.054873208,0.175682311,-6.0044361,1.92E-09,3.82E-08
AP3M1,26985,adaptor related protein complex 3 subunit mu 1,9.405874408,-1.456540116,0.367734346,-3.960848724,7.47E-05,0.000426305
AP3S1,1176,adaptor related protein complex 3 subunit sigma 1,161.188053,1.17542513,0.292617499,4.016933831,5.90E-05,0.000346932
APAF1,317,apoptotic peptidase activating factor 1,10.85605836,-1.287289302,0.261206908,-4.928236064,8.30E-07,8.34E-06
APBA1,320,amyloid beta precursor protein binding family A member 1,0.912283963,2.332779099,0.955550257,2.441293989,0.014634736,0.037745
APBB1IP,54518,amyloid beta precursor protein binding family B member 1 interacting protein,78.63062793,-1.736318846,0.293096305,-5.924055724,3.14E-09,5.90E-08
APC,324,APC regulator of WNT signaling pathway,9.563076128,-1.209200993,0.329236236,-3.672745766,0.000239958,0.001159638
APC2,10297,APC regulator of WNT signaling pathway 2,2.884288378,2.004723759,0.475718481,4.214096861,2.51E-05,0.000166712
APCDD1,147495,APC down-regulated 1,0.783802542,-1.814770801,0.704316275,-2.576641865,0.009976526,0.027570848
APEX2,27301,apurinic/apyrimidinic endodeoxyribonuclease 2,24.25111156,-1.20046826,0.194772855,-6.163426918,7.12E-10,1.56E-08
APLF,200558,aprataxin and PNKP like factor,2.535966433,-1.67842923,0.511424624,-3.281870192,0.001031211,0.004036684
APLP1,333,amyloid beta precursor like protein 1,5.976513291,-2.510863268,0.612076692,-4.102203692,4.09E-05,0.000254195
APOA1,335,apolipoprotein A1,4.461578388,1.863814091,0.495287957,3.763091883,0.000167826,0.000853069
APOBEC3A,200315,apolipoprotein B mRNA editing enzyme catalytic subunit 3A,23.6546897,-2.406727841,0.560623773,-4.292946458,1.76E-05,0.000122557
APOBEC3B,9582,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,114.7020743,-1.799526382,0.315093489,-5.711087162,1.12E-08,1.87E-07
APOBEC3C,27350,apolipoprotein B mRNA editing enzyme catalytic subunit 3C,582.9514992,-2.36412352,0.223128994,-10.59532191,3.13E-26,2.23E-23
APOBEC3D,140564,apolipoprotein B mRNA editing enzyme catalytic subunit 3D,42.5342468,-2.305344792,0.284233119,-8.110753594,5.03E-16,4.26E-14
APOBEC3F,200316,apolipoprotein B mRNA editing enzyme catalytic subunit 3F,21.88752986,-1.228513542,0.224175051,-5.480152836,4.25E-08,6.08E-07
APOBEC3G,60489,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,205.9537134,-1.771160973,0.201736028,-8.779596717,1.64E-18,2.14E-16
APOBR,55911,apolipoprotein B receptor,12.755592,-2.117832777,0.438223462,-4.832769032,1.35E-06,1.27E-05
APOC1P1,342,apolipoprotein C1 pseudogene 1,3.032667515,1.900767084,0.384934124,4.937902261,7.90E-07,8.01E-06
APOD,347,apolipoprotein D,1.124959976,-3.441291814,1.012390778,-3.399173411,0.000675898,0.002818648
APOF,319,apolipoprotein F,0.675594125,2.374547897,0.769395577,3.086251037,0.002026976,0.007129577
APOL5,80831,apolipoprotein L5,0.74004464,1.967054027,0.799688516,2.459775259,0.013902404,0.036218596
APOLD1,81575,apolipoprotein L domain containing 1,49.65451145,1.369520262,0.299717642,4.569368204,4.89E-06,3.98E-05
AQP10,89872,aquaporin 10,0.685958978,2.230491117,0.646914149,3.447893543,0.000564977,0.002417011
AQP7P1,375719,aquaporin 7 pseudogene 1,4.853088002,2.638901467,0.705594684,3.739967898,0.000184044,0.000925221
AQP8,343,aquaporin 8,1.603870719,2.351096348,0.60827267,3.865201357,0.000110998,0.000599417
AREG,374,amphiregulin,2.468869946,2.608764415,0.493164072,5.289850914,1.22E-07,1.55E-06
ARF4P2,170485,ADP ribosylation factor 4 pseudogene 2,2.382466474,-1.715323115,0.445959911,-3.846361685,0.000119885,0.000640981
ARFRP1,10139,ADP ribosylation factor related protein 1,74.52491007,-1.162532061,0.181091525,-6.419582935,1.37E-10,3.57E-09
ARG1,383,arginase 1,3.879874505,2.240393213,0.748493708,2.993202468,0.002760665,0.009254798
ARGLU1,55082,arginine and glutamate rich 1,219.0645236,-1.438601148,0.20722536,-6.94220605,3.86E-12,1.48E-10
ARHGAP11A,9824,Rho GTPase activating protein 11A,7.631473403,-1.370339749,0.430173611,-3.185550468,0.001444789,0.005358745
ARHGAP11B,89839,Rho GTPase activating protein 11B,6.84044258,-1.072135429,0.407347343,-2.631993178,0.008488557,0.024011933
ARHGAP12,94134,Rho GTPase activating protein 12,8.085432526,-1.33081337,0.333262574,-3.993287802,6.52E-05,0.000377926
ARHGAP15,55843,Rho GTPase activating protein 15,25.22810648,-1.004571293,0.29113272,-3.450561284,0.000559422,0.002399178
ARHGAP23,57636,Rho GTPase activating protein 23,30.42257418,1.278012688,0.290829083,4.394377193,1.11E-05,8.19E-05
ARHGAP24,83478,Rho GTPase activating protein 24,6.574541953,-3.082491151,0.515696468,-5.977336172,2.27E-09,4.44E-08
ARHGAP30,257106,Rho GTPase activating protein 30,172.0105672,-1.019283244,0.219022037,-4.653793106,3.26E-06,2.79E-05
ARHGAP32,9743,Rho GTPase activating protein 32,9.470797483,1.577198715,0.379494402,4.15605265,3.24E-05,0.000208666
ARHGAP4,393,Rho GTPase activating protein 4,327.7751382,1.148914249,0.183224319,6.27053361,3.60E-10,8.56E-09
ARHGDIB,397,Rho GDP dissociation inhibitor beta,672.9817676,-1.158572487,0.203087507,-5.704794478,1.16E-08,1.93E-07
ARHGEF1,9138,Rho guanine nucleotide exchange factor 1,129.915025,-1.152594185,0.163076528,-7.067811676,1.57E-12,6.56E-11
ARHGEF10L,55160,Rho guanine nucleotide exchange factor 10 like,4.255794359,-1.673978731,0.651887168,-2.567896431,0.010231772,0.028160617
ARHGEF11,9826,Rho guanine nucleotide exchange factor 11,18.7868623,1.243621208,0.316951741,3.923692619,8.72E-05,0.000487538
ARHGEF17,9828,Rho guanine nucleotide exchange factor 17,6.642305917,2.550483921,0.581332486,4.387306719,1.15E-05,8.41E-05
ARHGEF28,64283,Rho guanine nucleotide exchange factor 28,1.453228566,1.958008207,0.703660095,2.782605154,0.005392439,0.016382458
ARHGEF37,389337,Rho guanine nucleotide exchange factor 37,7.259597638,1.252974593,0.376131878,3.331210851,0.000864691,0.003480851
ARHGEF6,9459,Rac/Cdc42 guanine nucleotide exchange factor 6,22.74379418,-1.432630516,0.287611203,-4.981135995,6.32E-07,6.64E-06
ARID3A,1820,AT-rich interaction domain 3A,333.4717814,-1.13381074,0.158269007,-7.163820376,7.85E-13,3.57E-11
ARID3B,10620,AT-rich interaction domain 3B,180.9229985,1.683298836,0.18609772,9.045241608,1.49E-19,2.58E-17
ARID5A,10865,AT-rich interaction domain 5A,494.0503482,1.617886012,0.277545205,5.829270278,5.57E-09,9.86E-08
ARL10,285598,ADP ribosylation factor like GTPase 10,7.795388202,-1.457990896,0.378005607,-3.857061563,0.000114758,0.000617112
ARL11,115761,ADP ribosylation factor like GTPase 11,12.24983045,-2.131706285,0.372044153,-5.729713179,1.01E-08,1.68E-07
ARL13B,200894,ADP ribosylation factor like GTPase 13B,5.050143731,-1.296582923,0.342856154,-3.781711097,0.000155754,0.000800101
ARL4C,10123,ADP ribosylation factor like GTPase 4C,185.9581684,-1.267001575,0.41537763,-3.050240271,0.002286584,0.007892622
ARL5A,26225,ADP ribosylation factor like GTPase 5A,96.69781007,-1.46840497,0.20738553,-7.080556543,1.44E-12,6.04E-11
ARL6IP1,23204,ADP ribosylation factor like GTPase 6 interacting protein 1,54.27666889,-1.171628891,0.195763953,-5.984906164,2.17E-09,4.26E-08
ARL8A,127829,ADP ribosylation factor like GTPase 8A,155.6864269,1.45663511,0.175502796,8.299782944,1.04E-16,9.83E-15
ARMC1,55156,armadillo repeat containing 1,18.71558503,-2.489540626,0.328779382,-7.572070409,3.67E-14,2.17E-12
ARMC12,221481,armadillo repeat containing 12,2.965530435,1.744088616,0.416924008,4.183229034,2.87E-05,0.00018796
ARMC4,55130,armadillo repeat containing 4,1.654898073,2.969478528,0.650756636,4.563116785,5.04E-06,4.08E-05
ARMC7,79637,armadillo repeat containing 7,24.20876048,-1.270586191,0.201550048,-6.304072864,2.90E-10,7.07E-09
ARMC9,80210,armadillo repeat containing 9,9.43507665,-1.991196473,0.362952131,-5.486113185,4.11E-08,5.89E-07
ARMCX1,51309,armadillo repeat containing X-linked 1,2.427106277,1.260061116,0.514630728,2.448476252,0.014346189,0.037127256
